Route,Border location,Nationality,JAN2009,FEB2009,MAR2009,APR2009,MAY2009,JUN2009,JUL2009,AUG2009,SEP2009,OCT2009,NOV2009,DEC2009,JAN2010,FEB2010,MAR2010,APR2010,MAY2010,JUN2010,JUL2010,AUG2010,SEP2010,OCT2010,NOV2010,DEC2010,JAN2011,FEB2011,MAR2011,APR2011,MAY2011,JUN2011,JUL2011,AUG2011,SEP2011,OCT2011,NOV2011,DEC2011,JAN2012,FEB2012,MAR2012,APR2012,MAY2012,JUN2012,JUL2012,AUG2012,SEP2012,OCT2012,NOV2012,DEC2012,JAN2013,FEB2013,MAR2013,APR2013,MAY2013,JUN2013,JUL2013,AUG2013,SEP2013,OCT2013,NOV2013,DEC2013,JAN2014,FEB2014,MAR2014,APR2014,MAY2014,JUN2014,JUL2014,AUG2014,SEP2014,OCT2014,NOV2014,DEC2014,JAN2015,FEB2015,MAR2015,APR2015,MAY2015,JUN2015,JUL2015,AUG2015,SEP2015,OCT2015,NOV2015,DEC2015,JAN2016,FEB2016,MAR2016,APR2016,MAY2016,JUN2016,JUL2016,AUG2016,SEP2016,OCT2016,NOV2016,DEC2016,JAN2017,FEB2017,MAR2017,APR2017,MAY2017,JUN2017,JUL2017,AUG2017,SEP2017,OCT2017,NOV2017,DEC2017,JAN2018,FEB2018,MAR2018,APR2018,MAY2018,JUN2018,JUL2018,AUG2018,SEP2018,OCT2018,NOV2018,DEC2018,JAN2019,FEB2019,MAR2019,APR2019,MAY2019
Eastern Mediterranean Route,Sea,Sierra Leone,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,4,6,18,3,6,2,6,7,4,4,0,2,0,2,8,8,22,1,1,7,0,0,4,1,6,6,1,6,18,2,3,2,0,1,1,1,1,0,2,0,0,2,0,3,8,0,12,16,11,9,13,14,1,0,2,0,6,27
Eastern Mediterranean Route,Sea,Turkey,25,4,1,2,5,2,84,51,6,6,2,0,2,3,1,18,3,0,4,0,5,1,0,0,0,0,0,4,0,0,1,3,0,44,2,0,0,0,0,0,10,0,0,12,1,2,1,0,0,0,0,0,0,2,0,2,0,0,1,0,1,2,1,9,5,1,4,1,0,3,0,0,0,1,2,0,4,2,2,4,13,27,20,18,26,41,9,1,2,5,5,7,15,1,8,2,8,10,6,5,8,26,26,63,27,53,24,43,24,19,8,28,47,84,129,25,48,14,13,11,5,20,9,39,23
Eastern Mediterranean Route,Sea,Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,39,3,0,3,0,0,0,3,2,0,1,0,0,14,74,29,34,33,11,53,30,36,10,73,23,67,22,6,9,4,6,1,2,0,0,1,7,19,0,2,1,11,22
Eastern Mediterranean Route,Sea,Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,0,3,0,2,0,0,2,5,8,0,2,2,1,1,1,11,15,22,10,15,3,15,122,75,55,21,11,8,2,1,0,6,1,0,3,3,0,4,1,16,12,27,14,2,26,28,25,40,12,25,8,37,34,30,24,35,24,57,14,23,12,26,1,18,24,22
Eastern Mediterranean Route,Sea,Lebanon,233,137,155,119,3,5,65,3,2,0,74,1,5,2,1,2,11,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,2,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,1,0,0,0,2,1,3,2,19,75,786,695,451,117,56,94,20,5,3,9,20,7,18,14,9,6,3,2,0,7,2,1,9,8,22,3,4,1,1,1,3,2,0,3,2,9,7,3,3,1,1,1,2,16
Eastern Mediterranean Route,Sea,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,1,6,1,1,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,3,1,1,0,9,1,0,15
Eastern Mediterranean Route,Sea,Eritrea,16,28,68,66,65,140,153,166,167,68,77,79,82,99,226,0,3,6,18,9,2,0,0,0,0,2,1,1,0,1,1,4,0,0,1,0,0,0,0,0,8,0,0,12,10,10,5,5,3,4,0,7,16,42,59,34,132,75,43,137,80,60,38,15,43,88,90,90,75,117,23,38,73,9,39,77,67,63,88,57,108,125,173,101,37,42,75,67,35,54,70,44,12,36,44,31,18,29,18,1,20,9,8,6,15,26,36,12,8,4,2,49,31,5,51,14,5,3,0,0,10,3,3,5,15
Eastern Mediterranean Route,Sea,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,4,8,8,4,2,1,2,0,3,6,3,0,7,10,22,18,45,23,10,24,10,18,24,44,36,17,43,43,32,48,31,19,25,10,2,10,5,10,14,9,2,10,12,17,8,0,4,0,6,5,1,4,5,3,5,2,3,0,5,2,3,3,4,5,5,16,1,8,5,0,2,1,13
Eastern Mediterranean Route,Sea,Egypt,0,0,7,0,1,1,0,2,4,49,2,14,8,61,47,5,4,4,2,6,7,2,0,0,1,2,0,2,2,2,6,3,2,2,4,4,3,2,3,4,2,7,0,1,2,1,1,2,3,0,3,0,1,10,0,0,0,1,0,1,1,0,0,188,105,1,1,3,9,0,1,3,1,0,2,2,12,57,2,180,15,41,106,134,101,105,45,36,14,27,37,31,24,10,29,16,26,13,32,2,25,10,28,38,13,7,24,4,4,6,30,12,8,23,32,31,22,42,61,30,31,0,11,12,12
Eastern Mediterranean Route,Sea,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,8,6,10,3,23,18,7,19,16,9,29,41,15,3,2,9,5,3,5,2,0,9,2,3,0,4,2,0,0,1,1,0,0,4,0,2,5,4,3,0,0,1,0,10,7,14,4,5,3,7,4,7,5,0,9
